rank,school,score,peer,expert_score,gre_verbal,gre_quant,doc_accept,phd_student_faculty_ratio,phd_granted_per_faculty,funded_research,funded_research_per_faculty,enroll
93, Montclair State University (NJ),42,2.8,3.4,152,145,42.9,0.6,0.1,5.50,47.80,2212
93, St. John's University (NY),42,2.7,3,163,165,92.7,2.5,1.1,2.40,55.00,1352
93, University of Alabama,42,3.2,3.2,152,148,52.1,3.4,0.8,5.20,60.90,962
93, University of Houston (TX),42,3,3.2,153,148,31.2,3.9,1.5,5.60,104.20,655
93, University of South Carolina,42,3.1,3.6,151,148,51.6,3,0.7,3.00,38.60,1281
93, University of South Florida,42,2.9,3,150,147,69.8,3.6,0.7,14.90,163.60,1159
99, Kent State University (OH),41,2.9,3.4,151,149,41.8,3.1,0.5,5.80,51.90,1607
99, University of Central Florida,41,2.9,3,154,150,43.1,2.6,1.1,5.70,79.70,1646
101, Ball State University (IN),40,2.9,3.2,153,149,56.6,1.7,0.5,3.50,41.20,3303
101, Marquette University (WI),40,2.9,3.2,158,148,75,0.9,0.1,0.10,9.00,141
101, Miami University (OH),40,3.1,3.7,,,44.7,1.5,N/A,1.20,15.70,722
101, New Mexico State University,40,2.6,2.4,156,152,47.1,2.4,0.5,13.30,221.10,705
101, Portland State University (OR),40,2.9,3,,,62.5,1,0.4,7.40,163.40,1226
101, University of Alabama—Birmingham,40,2.9,2.9,149,144,65.4,0.9,0.3,4.80,110.50,730
101, University of California—Santa Cruz,40,2.7,3.1,157,147,42.4,2.8,0.6,1.40,117.90,111
101, University of Dayton (OH),40,2.7,3.1,157,144,33.3,1.5,0.2,3.50,68.00,613
101, University of Maine,40,3,3.1,154,147,86.4,1,0.3,0.90,36.30,414
101, University of Mississippi,40,2.8,3.3,148,145,70.4,2,0.3,9.10,190.00,603
101, University of Missouri—Kansas City,40,2.9,3.3,,,20.2,1.6,0.4,,,434
112, Appalachian State University (NC),39,2.5,3.1,156,147,81.8,0,0,2.10,2.90,881
112, Louisiana State University—Baton Rouge,39,3.1,3.5,149,142,64.4,2.4,0.7,,,725
112, Old Dominion University (Darden) (VA),39,2.7,3.1,150,147,71.2,1.7,0.5,12.10,124.70,1514
112, Texas Tech University,39,2.8,3.4,151,146,51.2,4.5,1.2,9.40,153.50,1426
112, University of Nevada—Reno,39,2.6,2.8,154,147,81.8,1.4,0.5,9.10,228.40,540
112, University of Texas—Arlington,39,2.8,3.4,150,146,48.6,1.2,0.2,0.60,19.90,2004
112, University of Wyoming,39,2.8,3.3,156,149,70,1.7,0.4,2.80,52.40,563
112, Wayne State University (MI),39,2.7,2.9,152,150,12.9,3.2,0.8,4.00,82.70,1419
120, Claremont Graduate University (CA),38,3.1,3.7,152,145,67,11.3,2.7,1.70,130.80,383
120, Howard University (DC),38,3,3.3,148,142,48.9,3.3,0.6,2.20,76.10,231
120, Illinois State University,38,2.7,3.1,150,148,84.2,0.8,0.2,8.80,62.20,881
120, Mills College (CA),38,2.7,3.4,,,85.2,3.3,0.5,2.70,248.40,202
120, Ohio University,38,3,3.4,149,145,43,1.7,0.6,1.40,21.90,826
120, Pennsylvania State University—Harrisburg,38,2.8,3.3,,,100,1.8,0.3,1.80,252.00,130
120, University of Colorado—Denver,38,3.1,3.1,,,75,5.1,0.6,5.50,142.20,1323
120, University of South Dakota,38,2.8,3.3,150,146,47.6,1.6,0.9,2.60,79.90,484
120, Western Michigan University,38,2.8,3,152,147,34,1.7,0.4,3.70,38.40,1371
120, West Virginia University,38,2.8,3,152,148,39.8,1.8,0.7,3.10,58.50,788
