title,series_name,date_aired,engagement,caught_by,imdb_rating,format,catchphrase,shaggy_scooby,fred_daphne_velma,other,combo,tv
A Scarey Duel with a Cartoon Ghoul,The New Scooby-Doo Mysteries,11/24/84,3.17805383,Shaggy/Scooby,7,TV,3,1,0,0,0,1
The Nutcracker Scoob,The New Scooby-Doo Mysteries,12/1/84,4.094344562,Shaggy/Scooby,7.9,TV,4,1,0,0,0,1
Scoobra Kadoobra,The 13 Ghosts of Scooby-Doo,9/14/85,4.510859507,Other,7.6,TV,0,0,0,1,0,1
Me and My Shadow Demon,The 13 Ghosts of Scooby-Doo,9/21/85,4.430816799,Shaggy/Scooby,7.3,TV,1,1,0,0,0,1
Reflections in the Ghoulish Eye,The 13 Ghosts of Scooby-Doo,9/28/85,4.369447852,Other,7.2,TV,2,0,0,1,0,1
That's Monstertainment,The 13 Ghosts of Scooby-Doo,10/5/85,4.430816799,Other,7.9,TV,3,0,0,1,0,1
Ship of Ghouls,The 13 Ghosts of Scooby-Doo,10/12/85,4.304065093,Shaggy/Scooby,7.5,TV,2,1,0,0,0,1
A Spooky Little Ghoul Like You,The 13 Ghosts of Scooby-Doo,10/19/85,4.33073334,Other,7.6,TV,3,0,0,1,0,1
When You Witch Upon a Star,The 13 Ghosts of Scooby-Doo,10/26/85,4.356708827,Other,7.1,TV,0,0,0,1,0,1
It's a Wonderful Scoob,The 13 Ghosts of Scooby-Doo,11/2/85,4.343805422,Shaggy/Scooby,7.4,TV,5,1,0,0,0,1
Scooby in Kwacky Land,The 13 Ghosts of Scooby-Doo,11/9/85,4.33073334,Shaggy/Scooby,7.7,TV,2,1,0,0,0,1
Coast-to-Ghost,The 13 Ghosts of Scooby-Doo,11/16/85,4.262679877,Other,7.4,TV,5,0,0,1,0,1
The Ghouliest Show on Earth,The 13 Ghosts of Scooby-Doo,11/23/85,4.343805422,Other,7.4,TV,4,0,0,1,0,1
Horror-Scope Scoob,The 13 Ghosts of Scooby-Doo,12/7/85,4.343805422,Other,7.4,TV,4,0,0,1,0,1
Scooby-Doo Meets the Boo Brothers,Hanna-Barbera Superstars 10,10/18/87,8.223358899,Other,7.1,Movie,3,0,0,1,0,0
A Bicycle Built for Boo,A Pup Named Scooby-Doo,9/10/88,4.219507705,Combo,7.3,TV,11,0,0,0,1,1
The Schnoock Who Took My Comic Book,A Pup Named Scooby-Doo,9/24/88,4.007333185,Shaggy/Scooby,8,TV,5,1,0,0,0,1
Wanted Cheddar Alive,A Pup Named Scooby-Doo,10/1/88,4.110873864,Fred/Daphne/Velma,7.5,TV,8,0,1,0,0,1
For Letter or Worse,A Pup Named Scooby-Doo,10/8/88,3.784189634,Shaggy/Scooby,7.4,TV,8,1,0,0,0,1
The Babysitter from Beyond,A Pup Named Scooby-Doo,10/15/88,3.912023005,Shaggy/Scooby,7.6,TV,10,1,0,0,0,1
Scooby-Doo and the Ghoul School,Hanna-Barbera Superstars 10,10/16/88,8.408939606,Shaggy/Scooby,6.9,Movie,26,1,0,0,0,0
Snow Place Like Home,A Pup Named Scooby-Doo,10/22/88,3.784189634,Shaggy/Scooby,7.8,TV,6,1,0,0,0,1
"Now Museum, Now You Don't",A Pup Named Scooby-Doo,10/29/88,3.850147602,Fred/Daphne/Velma,7.7,TV,13,0,1,0,0,1
Scooby Dude,A Pup Named Scooby-Doo,11/5/88,3.850147602,Shaggy/Scooby,7,TV,8,1,0,0,0,1
Ghost Who's Coming to Dinner,A Pup Named Scooby-Doo,11/12/88,3.970291914,Shaggy/Scooby,7.5,TV,8,1,0,0,0,1
The Story Stick,A Pup Named Scooby-Doo,11/19/88,3.828641396,Fred/Daphne/Velma,6.9,TV,14,0,1,0,0,1
Robopup,A Pup Named Scooby-Doo,11/26/88,3.784189634,Combo,7.2,TV,8,0,0,0,1,1
Lights...Camera...Monster,A Pup Named Scooby-Doo,12/3/88,3.80666249,Shaggy/Scooby,7.5,TV,9,1,0,0,0,1
Curse of the Collar,A Pup Named Scooby-Doo,9/9/89,3.761200116,Shaggy/Scooby,7.7,TV,5,1,0,0,0,1
The Return of Commander Cool,A Pup Named Scooby-Doo,9/16/89,3.761200116,Shaggy/Scooby,7.7,TV,4,1,0,0,0,1
The Spirit of Rock'n Roll,A Pup Named Scooby-Doo,9/23/89,3.761200116,Shaggy/Scooby,7.8,TV,7,1,0,0,0,1
Chickenstein Lives,A Pup Named Scooby-Doo,9/30/89,3.63758616,Shaggy/Scooby,7.5,TV,6,1,0,0,0,1
Night of the Living Burger,A Pup Named Scooby-Doo,10/7/89,3.737669618,Shaggy/Scooby,7.6,TV,3,1,0,0,0,1
The Computer Walks Among Us,A Pup Named Scooby-Doo,10/14/89,3.688879454,Combo,7.7,TV,9,0,0,0,1,1
"Terror, Thy Name is Zombo",A Pup Named Scooby-Doo,10/28/89,3.63758616,Shaggy/Scooby,7.8,TV,11,1,0,0,0,1
Night of the Boogey Biker,A Pup Named Scooby-Doo,9/8/90,3.610917913,Shaggy/Scooby,7.1,TV,3,1,0,0,0,1
Dawn of the Spooky Shuttle Scare,A Pup Named Scooby-Doo,9/8/90,3.610917913,Shaggy/Scooby,7.1,TV,8,1,0,0,0,1
Horror of the Haunted Hairpiece,A Pup Named Scooby-Doo,10/6/90,3.555348061,Shaggy/Scooby,6.9,TV,8,1,0,0,0,1
Wrestle Maniacs,A Pup Named Scooby-Doo,11/3/90,3.63758616,Shaggy/Scooby,7.2,TV,8,1,0,0,0,1
The Were-Doo of Doo Manor,A Pup Named Scooby-Doo,8/3/91,3.688879454,Shaggy/Scooby,7.2,TV,7,1,0,0,0,1
The Ghost of Mrs. Shusham,A Pup Named Scooby-Doo,8/10/91,3.610917913,Shaggy/Scooby,6.6,TV,6,1,0,0,0,1
The Wrath of Waitro,A Pup Named Scooby-Doo,8/10/91,3.610917913,Shaggy/Scooby,6.6,TV,6,1,0,0,0,1
Mayhem of the Moving Mollusk,A Pup Named Scooby-Doo,8/17/91,3.465735903,Shaggy/Scooby,7.2,TV,8,1,0,0,0,1
Scooby-Doo and the Witch's Ghost,Warner Home Video,10/5/99,8.783702699,Fred/Daphne/Velma,7.3,Movie,14,0,1,0,0,0
Scooby-Doo and the Alien Invaders,Warner Home Video,10/3/00,8.634976227,Combo,6.9,Movie,24,0,0,0,1,0
Scooby-Doo and the Cyber Chase,Warner Home Video,10/9/01,8.799661697,Shaggy/Scooby,7,Movie,22,1,0,0,0,0
Scooby-Doo,Warner Bros. Picture,6/14/02,11.52239053,Combo,5.1,Movie,21,0,0,0,1,0
There's No Creature Like Snow Creature,What's New Scooby-Doo?,9/14/02,5.170483995,Fred/Daphne/Velma,7.5,TV,7,0,1,0,0,1
3-D Struction,What's New Scooby-Doo?,9/21/02,5.010635294,Fred/Daphne/Velma,7.4,TV,4,0,1,0,0,1
Space Ape and the Cape,What's New Scooby-Doo?,9/28/02,5.017279837,Shaggy/Scooby,7.6,TV,4,1,0,0,0,1
Big Scare in the Big Easy,What's New Scooby-Doo?,10/5/02,4.955827058,Combo,7.7,TV,8,0,0,0,1,1
"It's Mean, It's Green, It's the Mystery Machine",What's New Scooby-Doo?,10/26/02,4.9698133,Fred/Daphne/Velma,7.6,TV,7,0,1,0,0,1
"Safari, So Goodie!",What's New Scooby-Doo?,11/23/02,4.86753445,Other,7.1,TV,5,0,0,1,0,1
A Scooby-Doo! Christmas,What's New Scooby-Doo?,12/13/02,4.919980926,Fred/Daphne/Velma,7.5,TV,6,0,1,0,0,1
Toy Scary Boo,What's New Scooby-Doo?,2/1/03,4.804021045,Combo,7.7,TV,4,0,0,0,1,1
Lights! Camera! Mayhem!,What's New Scooby-Doo?,2/15/03,4.744932128,Shaggy/Scooby,7.5,TV,2,1,0,0,0,1
Pompii and Circumstance,What's New Scooby-Doo?,2/22/03,4.700480366,Fred/Daphne/Velma,7.1,TV,5,0,1,0,0,1
Scooby-Doo! and the Legend of the Vampire,Warner Home Video,3/4/03,8.338066526,Combo,6.6,Movie,13,0,0,0,1,0
The Unnatural,What's New Scooby-Doo?,3/22/03,4.700480366,Shaggy/Scooby,7.3,TV,4,1,0,0,0,1
Big Appetite in Little Tokyo,What's New Scooby-Doo?,9/13/03,4.718498871,Shaggy/Scooby,7.2,TV,7,1,0,0,0,1
Mummy Scares Best,What's New Scooby-Doo?,9/20/03,4.624972813,Other,7.6,TV,2,0,0,1,0,1
The Fast and the Wormious,What's New Scooby-Doo?,9/27/03,4.644390899,Fred/Daphne/Velma,7.4,TV,6,0,1,0,0,1
Scooby-Doo! and the Monster of Mexico,Warner Home Video,9/30/03,8.149601736,Shaggy/Scooby,6.5,Movie,7,1,0,0,0,0
The Vampire Strikes Back,What's New Scooby-Doo?,10/18/03,4.65396035,Fred/Daphne/Velma,7.4,TV,3,0,1,0,0,1
A Scooby-Doo Halloween,What's New Scooby-Doo?,10/25/03,4.859812404,Fred/Daphne/Velma,7.6,TV,6,0,1,0,0,1
Homeward Hound,What's New Scooby-Doo?,10/25/03,4.574710979,Combo,7.2,TV,4,0,0,0,1,1
The San Franpsycho,What's New Scooby-Doo?,3/20/04,4.634728988,Shaggy/Scooby,7.3,TV,2,1,0,0,0,1
Recipe for Disaster,What's New Scooby-Doo?,3/23/04,4.691347882,Fred/Daphne/Velma,7.5,TV,2,0,1,0,0,1
Large Dragon at Large,What's New Scooby-Doo?,3/24/04,4.543294782,Fred/Daphne/Velma,7.5,TV,4,0,1,0,0,1
Uncle Scooby and Antarctica,What's New Scooby-Doo?,3/25/04,4.59511985,Fred/Daphne/Velma,7.4,TV,3,0,1,0,0,1
"New Mexico, Old Monster",What's New Scooby-Doo?,3/26/04,4.564348191,Shaggy/Scooby,7.2,TV,5,1,0,0,0,1
Scooby-Doo 2: Monsters Unleashed,Warner Bros. Picture,3/26/04,10.8365764,Shaggy/Scooby,5.1,Movie,12,1,0,0,0,0
It's All Greek to Scooby,What's New Scooby-Doo?,3/27/04,4.510859507,Combo,7.4,TV,2,0,0,0,1,1
Scooby-Doo! and the Loch Ness Monster,Warner Home Video,6/24/04,8.320691571,Fred/Daphne/Velma,6.7,Movie,25,0,1,0,0,0
Fright House of a Lighthouse,What's New Scooby-Doo?,1/29/05,4.852030264,Combo,8,TV,4,0,0,0,1,1
"Aloha, Scooby-Doo!",Warner Home Video,2/8/05,8.215006433,Shaggy/Scooby,6.4,Movie,7,1,0,0,0,0
A Scooby-Doo Valentine,What's New Scooby-Doo?,2/11/05,4.574710979,Other,7.5,TV,2,0,0,1,0,1
Wrestle Maniacs,What's New Scooby-Doo?,2/12/05,4.49980967,Fred/Daphne/Velma,7.4,TV,5,0,1,0,0,1
Farmed & Dangerous,What's New Scooby-Doo?,2/25/05,4.615120517,Fred/Daphne/Velma,7.3,TV,4,0,1,0,0,1
Diamonds Are a Ghoul's Best Friend,What's New Scooby-Doo?,3/3/05,4.564348191,Fred/Daphne/Velma,7,TV,1,0,1,0,0,1
A Terrifying Round with a Menacing Metallic Clown,What's New Scooby-Doo?,3/12/05,4.65396035,Fred/Daphne/Velma,7.6,TV,1,0,1,0,0,1
Camp Comeoniwannascareya,What's New Scooby-Doo?,3/19/05,4.605170186,Shaggy/Scooby,7.5,TV,4,1,0,0,0,1
Block-Long Hong Kong Terror,What's New Scooby-Doo?,3/26/05,4.477336814,Combo,7.4,TV,5,0,0,0,1,1
"Gentlemen, Start Your Monsters!",What's New Scooby-Doo?,4/2/05,4.465908119,Fred/Daphne/Velma,7.3,TV,4,0,1,0,0,1
Gold Paw,What's New Scooby-Doo?,4/9/05,4.430816799,Fred/Daphne/Velma,7.4,TV,6,0,1,0,0,1
Scooby-Doo! Pirates Ahoy!,Warner Home Video,9/19/06,7.805474625,Shaggy/Scooby,6.7,Movie,6,1,0,0,0,0
Don't Feed the Animals,Shaggy & Scooby-Doo Get a Clue!,2/2/07,2.890371758,Other,5.8,TV,2,0,0,1,0,1
Mysterty of the Missing Mystery Solvers,Shaggy & Scooby-Doo Get a Clue!,2/10/07,2.833213344,Shaggy/Scooby,6.9,TV,4,1,0,0,0,1
Scooby-Doo! and the Goblin King,Warner Home Video,10/8/08,7.734121303,Shaggy/Scooby,6.4,Movie,28,1,0,0,0,0
Scooby-Doo! and the Samurai Sword,Warner Home Video,4/7/09,7.687997166,Shaggy/Scooby,6.5,Movie,21,1,0,0,0,0
Scooby-Doo! The Mystery Begins,Warner Home Video,9/13/09,8.666474894,Shaggy/Scooby,5.3,Movie,15,1,0,0,0,0
Scooby-Doo! Abracadabra-Doo,Warner Home Video,2/16/10,7.605392365,Shaggy/Scooby,7.1,Movie,7,1,0,0,0,0
Beware the Beast From Below,Scooby-Doo Mystery Incorporated,4/5/10,5.82008293,Fred/Daphne/Velma,7.9,TV,3,0,1,0,0,1
The Creeping Creatures,Scooby-Doo Mystery Incorporated,7/19/10,5.717027701,Fred/Daphne/Velma,7.8,TV,2,0,1,0,0,1
The Secret of the Ghost Rig,Scooby-Doo Mystery Incorporated,7/26/10,5.587248658,Fred/Daphne/Velma,7.7,TV,4,0,1,0,0,1
The Song of Mystery,Scooby-Doo Mystery Incorporated,8/9/10,5.537334267,Fred/Daphne/Velma,8,TV,2,0,1,0,0,1
The Legend of Alice May,Scooby-Doo Mystery Incorporated,8/16/10,5.572154032,Fred/Daphne/Velma,8.5,TV,5,0,1,0,0,1
In Fear of the Phantom,Scooby-Doo Mystery Incorporated,8/23/10,5.545177444,Fred/Daphne/Velma,8.2,TV,1,0,1,0,0,1
The Grasp of the Gnome,Scooby-Doo Mystery Incorporated,8/30/10,5.433722004,Fred/Daphne/Velma,7.8,TV,1,0,1,0,0,1
Battle of the Humungonauts,Scooby-Doo Mystery Incorporated,9/7/10,5.398162702,Fred/Daphne/Velma,7.6,TV,4,0,1,0,0,1
Scooby-Doo! Camp Scare,Warner Home Video,9/14/10,7.850103545,Shaggy/Scooby,7.3,Movie,3,1,0,0,0,0
Howl of the Fright Hound,Scooby-Doo Mystery Incorporated,10/4/10,5.459585514,Combo,8.2,TV,2,0,0,0,1,1
The Secret Serum,Scooby-Doo Mystery Incorporated,10/11/10,5.416100402,Shaggy/Scooby,8.1,TV,0,1,0,0,0,1
The Shrieking Madness,Scooby-Doo Mystery Incorporated,10/18/10,5.505331536,Other,8.4,TV,2,0,0,1,0,1
When the Cicada Calls,Scooby-Doo Mystery Incorporated,10/25/10,5.411646052,Shaggy/Scooby,8,TV,0,1,0,0,0,1
Scooby-Doo! Curse of the Lake Monster,Warner Home Video,3/1/11,8.314097335,Combo,4.9,Movie,10,0,0,0,1,0
Mystery Solvers Club State Finals,Scooby-Doo Mystery Incorporated,5/3/11,5.537334267,Other,8.2,TV,0,0,0,1,0,1
Where Walks Aphrodite,Scooby-Doo Mystery Incorporated,5/17/11,5.429345629,Fred/Daphne/Velma,8.2,TV,1,0,1,0,0,1
Escape from Mystery Manor,Scooby-Doo Mystery Incorporated,5/24/11,5.521460918,Fred/Daphne/Velma,8.8,TV,2,0,1,0,0,1
The Dragon's Secret,Scooby-Doo Mystery Incorporated,5/31/11,5.351858133,Fred/Daphne/Velma,8.2,TV,2,0,1,0,0,1
Nightfright,Scooby-Doo Mystery Incorporated,6/7/11,5.424950017,Fred/Daphne/Velma,8.5,TV,1,0,1,0,0,1
The Siren's Song,Scooby-Doo Mystery Incorporated,6/14/11,5.313205979,Fred/Daphne/Velma,8.1,TV,3,0,1,0,0,1
Menace of the Manticore,Scooby-Doo Mystery Incorporated,6/21/11,5.356586275,Shaggy/Scooby,8.2,TV,0,1,0,0,0,1
Attack of the Headless Horror,Scooby-Doo Mystery Incorporated,6/28/11,5.278114659,Fred/Daphne/Velma,8.1,TV,2,0,1,0,0,1
A Haunting in Crystal Cove,Scooby-Doo Mystery Incorporated,7/5/11,5.351858133,Fred/Daphne/Velma,8.6,TV,3,0,1,0,0,1
Dead Justice,Scooby-Doo Mystery Incorporated,7/12/11,5.267858159,Fred/Daphne/Velma,8.2,TV,3,0,1,0,0,1
Pawn of Shadows,Scooby-Doo Mystery Incorporated,7/19/11,5.356586275,Other,8.8,TV,4,0,0,1,0,1
All Fear the Freak,Scooby-Doo Mystery Incorporated,7/26/11,5.605802066,Fred/Daphne/Velma,9.2,TV,2,0,1,0,0,1
Scooby-Doo! Legend of the Phantosaur,Warner Home Video,9/6/11,7.549082711,Fred/Daphne/Velma,6.8,Movie,5,0,1,0,0,0
Scooby-Doo! Music of the Vampire,Warner Home Video,3/13/12,7.360739903,Fred/Daphne/Velma,6.5,Movie,3,0,1,0,0,0
Scooby-Doo! Spooky Games,Warner Home Video,7/17/12,5.272999559,Fred/Daphne/Velma,6.9,TV,1,0,1,0,0,1
The House of the Nightmare Witch,Scooby-Doo Mystery Incorporated,7/31/12,5.231108617,Fred/Daphne/Velma,7.9,TV,2,0,1,0,0,1
The Night the Clown Cried II - Tears of Doom,Scooby-Doo Mystery Incorporated,8/1/12,5.283203729,Fred/Daphne/Velma,8.4,TV,5,0,1,0,0,1
Web of the Dreamweaver!,Scooby-Doo Mystery Incorporated,8/2/12,5.257495372,Fred/Daphne/Velma,8.2,TV,0,0,1,0,0,1
The Hodag of Horror,Scooby-Doo Mystery Incorporated,8/3/12,5.236441963,Combo,8.4,TV,0,0,0,0,1,1
Art of Darkness,Scooby-Doo Mystery Incorporated,8/6/12,5.176149733,Fred/Daphne/Velma,7.7,TV,2,0,1,0,0,1
Night on Haunted Mountain,Scooby-Doo Mystery Incorporated,8/8/12,5.209486153,Shaggy/Scooby,8.3,TV,3,1,0,0,0,1
Grrim Judgment,Scooby-Doo Mystery Incorporated,8/9/12,5.170483995,Other,8.3,TV,0,0,0,1,0,1
Night Terrors,Scooby-Doo Mystery Incorporated,8/10/12,5.308267697,Fred/Daphne/Velma,9.1,TV,4,0,1,0,0,1
Heart of Evil,Scooby-Doo Mystery Incorporated,8/16/12,5.159055299,Fred/Daphne/Velma,7.6,TV,4,0,1,0,0,1
Theater of Doom,Scooby-Doo Mystery Incorporated,8/17/12,5.192956851,Fred/Daphne/Velma,8.6,TV,1,0,1,0,0,1
Big Top Scooby-Doo!,Warner Home Video,10/9/12,7.273786318,Combo,6.9,Movie,3,0,0,0,1,0
Scooby-Doo! Haunted Holidays,Warner Home Video,10/16/12,5.97126184,Shaggy/Scooby,7,TV,4,1,0,0,0,1
Aliens Among Us,Scooby-Doo Mystery Incorporated,3/25/13,5.147494477,Fred/Daphne/Velma,8,TV,5,0,1,0,0,1
The Horrible Herd,Scooby-Doo Mystery Incorporated,3/25/13,5.117993812,Fred/Daphne/Velma,8.3,TV,0,0,1,0,0,1
Dance of the Undead,Scooby-Doo Mystery Incorporated,3/26/13,5.192956851,Shaggy/Scooby,8,TV,3,1,0,0,0,1
The Devouring,Scooby-Doo Mystery Incorporated,3/27/13,5.111987788,Shaggy/Scooby,7.8,TV,4,1,0,0,0,1
Stand and Deliver,Scooby-Doo Mystery Incorporated,3/28/13,5.141663557,Fred/Daphne/Velma,8.3,TV,3,0,1,0,0,1
The Man in the Mirror,Scooby-Doo Mystery Incorporated,3/29/13,5.170483995,Fred/Daphne/Velma,8.9,TV,1,0,1,0,0,1
Nightmare in Red,Scooby-Doo Mystery Incorporated,4/2/13,5.231108617,Fred/Daphne/Velma,8.9,TV,4,0,1,0,0,1
Dark Night of Hunters,Scooby-Doo Mystery Incorporated,4/3/13,5.105945474,Fred/Daphne/Velma,8.4,TV,2,0,1,0,0,1
Gates of Gloom,Scooby-Doo Mystery Incorporated,4/4/13,5.129898715,Fred/Daphne/Velma,8.7,TV,4,0,1,0,0,1
Come Undone,Scooby-Doo Mystery Incorporated,4/5/13,5.560681631,Shaggy/Scooby,9.3,TV,7,1,0,0,0,1
Scooby-Doo Adventure: The Mystery Map!,Warner Home Video,7/23/13,5.683579767,Combo,5.1,Movie,15,0,0,0,1,0
Scooby-Doo! Stage Fright,Warner Home Video,8/20/13,7.229838778,Fred/Daphne/Velma,7.1,Movie,3,0,1,0,0,0
Scooby-Doo! and the Spooky Scarecrow,Warner Home Video,9/10/13,5.998936562,Fred/Daphne/Velma,7.3,TV,1,0,1,0,0,1
Scooby-Doo! Mecha Mutt Menace,Warner Home Video,9/24/13,5.488937726,Shaggy/Scooby,6.5,TV,3,1,0,0,0,1
Scooby-Doo! Wrestlemania Mystery,Warner Home Video,3/25/14,7.946263644,Shaggy/Scooby,6.3,Movie,10,1,0,0,0,0
Scooby-Doo! Ghastly Goals!,Warner Home Video,5/13/14,5.375278408,Shaggy/Scooby,6.6,TV,3,1,0,0,0,1
Scooby-Doo! Frankencreepy,Warner Home Video,8/19/14,7.340186835,Fred/Daphne/Velma,6.7,Movie,17,0,1,0,0,0
Scooby-Doo! Moon Monster Madness,Warner Home Video,2/17/15,7.145984468,Fred/Daphne/Velma,6.5,Movie,6,0,1,0,0,0
Scooby-Doo! and the Beach Beastie,Warner Home Video,5/5/15,5.236441963,Fred/Daphne/Velma,7.1,TV,1,0,1,0,0,1
Scooby-Doo! KISS: Rock and Roll Mystery,Warner Home Video,7/21/15,7.544861069,Other,6.5,Movie,3,0,0,1,0,0
Mystery 101,"Be Cool, Scooby-Doo!",10/5/15,4.804021045,Fred/Daphne/Velma,7.9,TV,0,0,1,0,0,1
Game of Chicken,"Be Cool, Scooby-Doo!",10/6/15,4.624972813,Fred/Daphne/Velma,7.2,TV,2,0,1,0,0,1
All Pawns on Deck,"Be Cool, Scooby-Doo!",10/7/15,4.615120517,Fred/Daphne/Velma,7.4,TV,1,0,1,0,0,1
Poodle Justice,"Be Cool, Scooby-Doo!",10/8/15,4.442651256,Fred/Daphne/Velma,7.3,TV,1,0,1,0,0,1
Grand Scam,"Be Cool, Scooby-Doo!",10/9/15,4.356708827,Fred/Daphne/Velma,7.3,TV,0,0,1,0,0,1
Trading Chase,"Be Cool, Scooby-Doo!",10/12/15,4.382026635,Fred/Daphne/Velma,7.6,TV,0,0,1,0,0,1
"Be Quiet, Scooby-Doo!","Be Cool, Scooby-Doo!",10/15/15,4.430816799,Shaggy/Scooby,7.5,TV,2,1,0,0,0,1
Party Like It's 1899,"Be Cool, Scooby-Doo!",10/19/15,4.477336814,Fred/Daphne/Velma,8.2,TV,0,0,1,0,0,1
Screama Donna,"Be Cool, Scooby-Doo!",10/20/15,4.276666119,Fred/Daphne/Velma,7.4,TV,2,0,1,0,0,1
Kitchen Frightmare,"Be Cool, Scooby-Doo!",10/21/15,4.317488114,Fred/Daphne/Velma,7.5,TV,2,0,1,0,0,1
"Me, Myself, and A.I.","Be Cool, Scooby-Doo!",10/22/15,4.276666119,Fred/Daphne/Velma,7.5,TV,2,0,1,0,0,1
"Where There's a Will, There's a Wraith","Be Cool, Scooby-Doo!",10/28/15,4.394449155,Combo,7.5,TV,0,0,0,0,1,1
Scooby-Doo! Knight Time Terror,Lego,11/25/15,5.66296048,Fred/Daphne/Velma,6.6,TV,4,0,1,0,0,1
Scary Christmas,"Be Cool, Scooby-Doo!",12/5/15,4.317488114,Combo,7.4,TV,1,0,0,0,1,1
Gremlin on a Plane,"Be Cool, Scooby-Doo!",2/13/16,4.189654742,Shaggy/Scooby,7.8,TV,2,1,0,0,0,1
Sorcerer Snacks Scare,"Be Cool, Scooby-Doo!",2/20/16,4.204692619,Fred/Daphne/Velma,7.9,TV,2,0,1,0,0,1
"Be Cold, Scooby-Doo!","Be Cool, Scooby-Doo!",3/5/16,4.143134726,Fred/Daphne/Velma,7.5,TV,1,0,1,0,0,1
LEGO Scooby-Doo! Haunted Hollywood,Lego,3/10/16,7.042286172,Combo,5.9,Movie,7,0,0,0,1,0
