team,fci,league,year,stadium,yearOpened,location,COL,liveability
St. Louis Cardinals,233.86,MLB,2014,Busch Stadium,2006,"St. Louis, Missouri",86,72
St. Louis Rams,427.44,NFL,2014,Edward Jones Dome,1995,"St. Louis, Missouri",86,72
St. Louis Blues,308.55,NHL,2013,Scottrade Center,1994,"St. Louis, Missouri",86,72
Tampa Bay Rays,170.02,MLB,2014,Tropicana Field,1990,"St. Petersburg, Florida",89,79
Florida Panthers,285.42,NHL,2013,BB&T Center,1998,"Sunrise, Florida",95,80
Tampa Bay Buccaneers,388.36,NFL,2014,Raymond James Stadium,1998,"Tampa, Florida",91,81
Tampa Bay Lightning,267.92,NHL,2013,Tampa Bay Times Forum,1996,"Tampa, Florida",91,81
New York Yankees,337.2,MLB,2014,Yankee Stadium,2009,"The Bronx, New York City, New York",146,77
Toronto Blue Jays,217.69,MLB,2014,Rogers Centre,1989,"Toronto, Ontario",99,
Toronto Raptors,321.63,NBA,2013,Air Canada Centre,1999,"Toronto, Ontario",99,
Toronto Maple Leafs,615.62,NHL,2013,Air Canada Centre,1999,"Toronto, Ontario",99,
New York Islanders,381,NHL,2013,Nassau Veterans Memorial Coliseum,1972,"Uniondale, New York",137,76
Vancouver Canucks,479.53,NHL,2013,Rogers Arena,1995,"Vancouver, British Columbia",118,
Washington Nationals,227.96,MLB,2014,Nationals Park,2008,"Washington, D.C.",113,76
Washington Wizards,249.22,NBA,2013,Verizon Center,1997,"Washington, D.C.",113,76
Washington Capitals,393.48,NHL,2013,Verizon Center,1997,"Washington, D.C.",113,76
Winnipeg Jets,419.04,NHL,2013,MTS Centre,2004,"Winnipeg, Manitoba",98,
