title,subtitle,series,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,month_read_num,year_read,bookshelf
How to Ruin Everything Deluxe,Essays,,"Watsky, George",5,3.9,Plume,Paperback,238,2016,November,11,2018,read
How University Budgets Work,,,"Smith, Dean O.",3,3,Johns Hopkins University Press,Paperback,189,2019,August,8,2020,read
Hunting Eichmann,How a Band of Survivors and a Young Spy Agency Chased Down the World's Most Notorious Nazi,,"Bascomb, Neal",5,4.13,Houghton Mifflin Harcourt,Hardcover,390,2009,January,1,2015,read
Hunting Season,,"Anna Pigeon, #10","Barr, Nevada",4,3.82,G.P. Putnam's Sons,Hardcover,322,2002,January,1,2014,read
I Have Fun Everywhere I Go,"Savage Tales of Pot, Porn, Punk Rock, Pro Wrestling, Talking Apes, Evil Bosses, Dirty Blues, American Heroes, and the",,"Edison, Mike",4,3.59,Faber & Faber,Hardcover,338,2008,July,7,2016,read
"I Love You, Beth Cooper",,,"Doyle, Larry",5,3.29,Harper,Hardcover,255,2007,June,6,2013,read
I Was Amelia Earhart,,,"Mendelsohn, Jane",3,3.4,Vintage,Paperback,160,1997,December,12,2019,read
I Wear the Black Hat,Grappling With Villains (Real and Imagined),,"Klosterman, Chuck",3,3.64,Scribner,Hardcover,214,2013,July,7,2014,read
"I, Lucifer",,,"Duncan, Glen",2,3.63,Grove Press,Paperback,272,2003,June,6,2019,read
I'm with the Band,Confessions of a Groupie,,"Barres, Pamela Des",3,3.67,Chicago Review Press,Paperback,320,1987,February,2,2015,read
In One Person,,,"Irving, John",,3.63,Simon & Schuster,Hardcover,425,2011,September,9,2014,quit-reading
In Secret Service,,,"Silver, Mitch",2,3.18,Touchstone,Hardcover,327,2007,June,6,2015,read
In the Hand of Dante,,,"Tosches, Nick",,3.18,No Exit,Paperback,352,2002,January,1,2019,quit-reading
In the Woods,,"Dublin Murder Squad, #1","French, Tana",5,3.76,Viking,Hardcover,429,2007,June,6,2018,read
Inferno,,"Robert Langdon, #4","Brown, Dan",3,3.73,Doubleday,Hardcover,461,2013,June,6,2013,read
Inside The Green Berets,The First Thirty Years- A History Of The U.S. Army Special Forces,,"Simpson, Charles M., III",3,3.63,Presidio Press,Hardcover,236,1983,August,8,2016,read
