team,avgTicket,pctChange,avgPremTicket,cheapestTicket,beer,softDrink,hotDog,parking,program,cap,fci,fciPctChange,league,year
New Jersey Devils,47.71,0.90%,172.86,,8.5,4.25,5.75,24,3,18,313.85,7.80%,NHL,2013
New York Islanders,67.25,2.00%,141.09,,9.5,4.75,6,10,0,20,381,2.20%,NHL,2013
New York Rangers,74.89,4.00%,319.7,,8.75,5,6,30,10,16,443.06,6.20%,NHL,2013
Ottawa Senators,43.51,3.40%,109.29,,5.55,3.27,3.27,8.09,0,20.27,259.92,2.20%,NHL,2013
Philadelphia Flyers,71.59,0.00%,184.63,,8.25,3.75,5,12,5,20,367.49,1.70%,NHL,2013
Pittsburgh Penguins,70.52,4.40%,172.5,,5,3,5,18,0,18,378.07,6.20%,NHL,2013
San Jose Sharks,53.71,4.30%,128.35,,6.25,4,4,21,5,25,340.32,2.70%,NHL,2013
St. Louis Blues,49.14,5.40%,149.93,,7,5,4,20,1,20,308.55,3.40%,NHL,2013
Tampa Bay Lightning,42.23,10.80%,145.26,,6,5.75,3.5,10,0,20,267.92,4.50%,NHL,2013
Toronto Maple Leafs,122.2,2.40%,197.74,,6.96,3.84,5.2,19.19,4.8,23.98,615.62,1.90%,NHL,2013
Vancouver Canucks,91.45,4.40%,218.56,,7.44,4.56,4.32,19.19,2.88,19.19,479.53,4.10%,NHL,2013
Washington Capitals,66.37,0.00%,247.13,,8,5,5.5,20,5,20,393.48,0.00%,NHL,2013
Winnipeg Jets,81.49,2.00%,128.46,,7.68,4.56,5.28,9.59,0,14.38,419.04,-2.40%,NHL,2013
Arizona Diamondbacks,17.98,6.40%,52.14,,4,1.5,2.75,10,0,9.99,126.89,3.60%,MLB,2014
Atlanta Braves,18.53,3.80%,50.65,,7.25,4.75,4.75,15,0,15,171.62,0.50%,MLB,2014
Baltimore Orioles,24.97,4.50%,44.93,,6.75,1.5,1.5,8,5,15,173.39,2.60%,MLB,2014
Boston Red Sox,52.32,4.80%,176.96,,7.75,4.75,5,27,5,25,350.78,7.30%,MLB,2014
Chicago Cubs,44.16,-0.90%,110.49,,7.5,4,5.5,25,4.5,20,304.64,2.20%,MLB,2014
Chicago White Sox,26.05,0.00%,86.94,,6.5,4.5,3.75,20,4,15.99,210.18,0.00%,MLB,2014
Cincinnati Reds,22.03,3.20%,61.6,,5.5,1,1,17,4,18,168.12,1.70%,MLB,2014
Cleveland Indians,21.31,3.00%,54.33,,4,3,3,12,0,16.5,162.24,0.30%,MLB,2014
Colorado Rockies,23.65,0.00%,47.39,,6,3.25,4.75,13,5,20,201.6,2.50%,MLB,2014
Detroit Tigers,28.22,7.10%,72.91,,5,4.25,4.5,20,5,16,219.88,12.50%,MLB,2014
