title,author,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read,bookshelf
"Hunting Season (Anna Pigeon, #10)","Barr, Nevada",4,3.82,G.P. Putnam's Sons,Hardcover,322,2002,January,2014,read
"I Love You, Beth Cooper","Doyle, Larry",5,3.29,HarperCollins Publishers,Hardcover,255,2007,June,2013,read
I Wear the Black Hat: Grappling With Villains (Real and Imagined),"Klosterman, Chuck",0,3.64,Scribner,Hardcover,214,2013,July,2014,read
I'm with the Band: Confessions of a Groupie,"Barres, Pamela Des",3,3.67,Chicago Review Press,Paperback,320,1987,February,2015,read
In One Person,"Irving, John",,3.63,Simon & Schuster,Hardcover,425,2011,September,2014,quit-reading
In Secret Service,"Silver, Mitch",2,3.18,Touchstone Books,Hardcover,327,2007,June,2015,read
"Inferno (Robert Langdon, #4)","Brown, Dan",3,3.73,Doubleday,Hardcover,461,2013,June,2013,read
Interactive Data Visualization for the Web,"Murray, Scott",0,4.03,O'Reilly Media,Paperback,272,2013,June,2013,read
"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living","Savage, Dan",,4.12,Dutton,Hardcover,338,2011,December,2011,to-read
Judgment Calls: Principle and Politics in Constitutional Law,"Farber, Daniel A.",,3.67,"Oxford University Press, USA",Hardcover,201,2008,February,2013,quit-reading
"Juliet, Naked","Hornby, Nick",4,3.47,Riverhead Books,Hardcover,406,2009,February,2011,read
Just My Type: A Book About Fonts,Simon Garfield,0,3.77,Gotham,Hardcover,384,2011,December,2015,read
Last Dance: Behind the Scenes at the Final Four,"Feinstein, John",4,3.72,"Little, Brown and Company",Hardcover,384,2006,March,2011,read
Last Night at Chateau Marmont,"Weisberger, Lauren",2,3.49,Atria Books,Hardcover,384,2010,December,2010,read
Less Than Words Can Say (Common Reader Editions),"Mitchell, Richard",,4.41,Joiner/Oriel Inc,Paperback,224,1979,May,2015,quit-reading
Let's Talk About Love: A Journey to the End of Taste,"Wilson, Carl",,4.19,Bloomsbury Academic,Paperback,176,2007,January,2015,to-read
Letters to a Young Contrarian,"Hitchens, Christopher",4,4.12,Basic Books,Hardcover,141,2001,January,2015,read
"Locked On (Jack Ryan Jr., #3)","Clancy, Tom",4,3.97,Michael Joseph,Hardcover,712,2011,May,2013,read
Lucky Jim,"Amis, Kingsley",4,3.79,Penguin Classics,Paperback,251,1953,May,2015,read
Micro,"Crichton, Michael",3,3.32,Harper,Hardcover,429,2011,December,2012,read
"Mockingjay (The Hunger Games, #3)","Collins, Suzanne",3,4.03,Scholastic Press,Hardcover,400,2010,October,2013,read
Model Behavior: A Novel and Stories,"McInerney, Jay",3,3.18,Knopf,Hardcover,275,1998,April,2014,read
"More Baths, Less Talking (Stuff I've Been Reading #4)","Hornby, Nick",4,3.93,"McSweeney's, Believer Books",Paperback,135,2012,January,2015,read
"Motley Crue: A Visual History, 1983-2005","Zlozower, Neil",4,4.38,Chronicle Books,Hardcover,232,2009,May,2012,read
Mr. Penumbra's 24-Hour Bookstore,"Sloan, Robin",,3.76,"Farrar, Straus and Giroux",Hardcover,288,2012,June,2014,to-read
"My Appetite for Destruction: Sex, and Drugs, and Guns N' Roses","Adler, Steven",3,3.53,It Books,Hardcover,286,2010,February,2012,read
My Custom Van: And 50 Other Mind-Blowing Essays that Will Blow Your Mind All Over Your Face,"Black, Michael Ian",5,3.66,Gallery Books,Hardcover,240,2008,January,2014,read
"My Life as a Furry Red Monster: What Being Elmo Has Taught Me About Life, Love and Laughing Out Loud","Clash, Kevin",3,3.62,Crown Archetype,Hardcover,224,2006,January,2012,read
Neruda Memoirs,"Neruda, Pablo",,4.2,Penguin Books,Paperback,370,1974,July,2015,quit-reading
Never Mind Nirvana: A Novel,"Lindquist, Mark",4,3.62,Villard,Hardcover,256,2000,April,2013,read
Night Film,"Pessl, Marisha",4,3.76,Random House,Hardcover,602,2013,December,2013,read
Nine Inches: Stories,"Perrotta, Tom",,3.72,St. Martin's Press,Hardcover,246,2013,September,2013,to-read
No Country for Old Men,"McCarthy, Cormac",5,4.11,Alfred A. Knopf,Hardcover,309,2005,January,2013,read
Nobody's Fool,"Russo, Richard",5,4.12,Vintage,Hardcover,549,1993,December,2014,read
"Notorious (It Girl, #2)","Ziegesar, Cecily von",4,3.74,Poppy,Paperback,288,2006,January,2015,read
"October, 1964","Halberstam, David",3,4.12,Niagara,Hardcover,576,1994,October,2011,read
On Equality of Educational Opportunity,"Mosteller, Frederick",4,4,Random House (NY),Hardcover,570,1972,January,2014,read
"On Writing, Editing, and Publishing",Jacques Barzun,,3.95,The University of Chicago Press,Paperback,130,1972,,2015,currently-reading
Once Upon a Fastball,"Mitchell, Bob",3,2.97,Kensington,Hardcover,288,2008,January,2011,read
"Once Upon a Time in Computerland: The Amazing, Billion-Dollar Tale of Bill Millard","Littman, Jonathan",3,4,Simon & Schuster,Paperback,413,1987,January,2015,read
One Fifth Avenue,Candace Bushnell,4,3.3,Hachette Books,Hardcover,433,2008,January,2016,read
One Mississippi,"Childress, Mark",5,3.67,"Little, Brown and Company",Hardcover,400,2006,June,2014,read
